bucha,N101D029
bucho,N001
bueno,N304+Pr
bufão,N220
bufar,V005
bufir,V007
bugio,A201
bugre,A301D081
bujão,N002
bular,V005
bulbo,N001
bulha,N101
bulir,V071
bumba,N004
bumbo,N001
bunda,A301
buquê,N001
burca,N101
burgo,N001
buril,N010
burke,N304+Pr
burla,N101
burro,A201A27
burtt,N304+Pr
busca,N101
busto,N001
butiá,N001
butua,N101
buxal,N007
búzio,N001
byron,N304+Pr
cabal,A308
cabaz,N003
caber,V052
cabra,N301D029
cabul,N007
cação,N002
caçar,V010
cacau,N001
cachê,N001
cacho,N001D026
cácia,N104+Pr
cacto,N001
cadmo,N004+Pr
caeté,A301
cafre,N301
cafua,N101
cafuz,A303
cagão,A220
cagar,V009
caiar,V005
caído,A201D112
cairo,N001
caixa,N301D030A01
calão,N002
calar,V005
calça,N101D042A01
calço,N001
calda,A101
caldo,A001D026
calha,N101
calmo,A201D081S03
calor,N003D003
calpe,N104+Pr
calvo,A201
camar,V005
cambo,A201
campa,N101
campo,N001D026
camus,N304+Pr
canaã,N104+Pr
canal,A007
cancã,N001
cande,A001
cândi,A101
canga,N101
canha,A101
canil,N010
canja,A101
canoa,N101
cânon,N003
cantã,N101
canto,N001D026
canzá,N001
capão,A002
capar,V005
capaz,A303S30
capim,N307
cápua,N104+Pr
caput,N004
capuz,N003
caqui,A001
cáqui,N001
carão,N002
carda,N101
carga,N101
cargo,N001
cárie,N101
caril,N010
carla,N104+Pr
carlo,N004+Pr
carmo,N304+Pr
carnê,N001
carne,N301
caroá,N001
carpa,N101
carpo,N001
carré,N001
carro,N001D026A01
carta,N101D029
casal,N007D077
casar,V005
casca,N101D097A31
casco,N001D037
casio,N304+Pr
caspa,N101
cassa,A101
casto,A201
catar,N003
catch,N004
catre,N001
cauby,N004+Pr
cauda,N101
cauim,N008
caule,N001
causa,N101
causo,N001
cauto,A201
cavar,V005
cávea,N101
cavum,N004
ceará,N004+Pr
ceasa,N004+Pr
ceder,V006
cedro,N001D026A01
cegar,V028
ceifa,N101
celga,N101
celha,N101
célia,N104+Pr
célio,N004+Pr
celso,N004+Pr
celta,A301
cenho,N001
censo,N001
cento,DET06+Num
cerar,V005
cerca,N101
cerce,ADV
cerco,N001
cerda,N101
ceres,N106+Pr
cério,N001
cerne,N001
cerol,N012
cerro,N001
certo,A201D081S03
cerva,N101
cervo,N001
césar,N004+Pr
césio,N001
cesta,N301D030
cesto,N001D026A01
cetim,N008
cetra,N101
cetro,N001
cevar,V005
cezar,N004+Pr
chaga,N101
chalé,N001D009
chama,N101
chapa,N301
chape,N001
chara,N101
chato,A201D081S03
chauí,N304+Pr
chave,N101D029
cheda,N101
chefe,N201D081A27
chega,N304
cheio,A201
chiar,V005
chibo,N201
chico,N004+Pr
chile,N004+Pr
china,A101D029
chita,N101
choça,N101
choco,A201
chong,N306+Pr
chopa,N101
chope,N001
choro,N001D026
chuço,N001
chulé,N001
chulo,A201
chupa,A301
chute,N001A01
chuva,N101D029A27
ciano,A201
cibar,V005
cicio,N001
ciclo,N001
cidra,N101
cifar,V005
cifra,N101
cilha,N101
cílio,N001
cimba,N101
cinco,DET06+Num
cinta,N101
cinto,N001D026
cinza,A306
cioba,N101D029
cioso,A201D081
circe,N104+Pr
circo,N001D037
círio,N001
cirro,N001
cisão,N102
cisar,V005
cisco,N001
cisma,N101
cisne,N001D001
cisto,N001
citar,V005
citro,N001
ciúme,N001
cível,A308
civil,A310
clair,N304+Pr
clara,N101
clark,N304+Pr
claro,A201S03
clava,N101
clave,N101
clero,N001
clima,N001
cline,N001
clipe,N001
clivo,N001
clone,N001
cloro,N001
close,N001
clown,N001
clube,N001D026
coado,A201
